id,Accept
63ef5dfc62f,1
65ee0569c05,1
19058f4da52,1
a0f1299afe4,0
e47da0be9fc,1
2d0a0c53c91,0
94b3ef18413,0
150c3cf0080,1
9b30e5ada06,0
f8764647b76,0
21428dd2b75,1
84d827b5245,1
de1be0d9bb4,1
ecf7ea9e263,1
dc8e4100adc,0
8ee7d7d977c,0
ac1141a836b,1
62d453b5c7a,0
3a8f4595ed3,1
da6434ac7e0,0
49159984b73,1
ea12ee84685,0
397ec78dac1,1
e1ddb91d6ba,1
234f6fc57d9,0
0e1d7a6526a,0
7d023c0ebac,0
7b3292d3136,1
d782fd9107c,1
e19d36c41ef,1
53ad941f708,1
2a94419c300,1
3e057f59c7e,1
07dba3bea67,0
c81b2cf7634,1
8305a87c7ba,1
a5f20ca1d41,0
d5bf3bd9245,0
5672135ce72,1
ca32090a339,1
94f1a9b05c2,0
7c21a34118b,0
e8792374196,1
bb7bff876b2,1
d2d30795dea,1
fb072b65fa2,1
62e7ac9c69b,1
26bc1c8632d,1
33c759414ec,1
81d3bb764a3,1
0025389c5af,0
19beff1b6e7,0
50d7ef8b0b4,0
ff898263b7f,1
2b2e075ddbe,0
cfda2fb6857,1
45d3aa28400,1
968764c4c43,1
8a48caf796f,0
32306d864f5,1
62c8b2688c4,0
bbdc824bc95,1
98170c9d945,0
8b2551b14f4,1
e47aa43f126,0
b9ecc7ae07f,1
6ffa9298d9d,0
5e0e23d3f17,1
7994e5ffbb0,0
8ac6c3f24ee,0
3734e50844a,0
8eb031a3b24,1
258eb2e5815,1
48997353a36,0
b6ba281951e,1
a0624aae1a0,1
e65a8cbc5d2,1
a4377dbed92,1
00b2d950109,1
cdc032b6dec,1
1fbc5ca2782,1
5e4e1c1a787,0
60fa15daef5,0
0ef7ac9ec8d,1
774289ffe71,1
d39a1567a39,1
4f2ac073ab8,0
48275db8ddd,1
c29acc5e7a1,1
3f9e77cce38,1
b7c9e2cbbb3,1
76d3843ff62,1
0a1de2a3abc,1
a502e41e0a7,1
6ebda32397e,1
fbd6ac65837,1
990c6dd4af7,1
275abae5631,1
40aadbf9f9e,1
cf220d42ac7,0
26e2f6f133e,1
a60b78c0dba,1
bd13b6253ae,1
31911dc94c5,1
5eb9ea2c3c8,1
748a69c5b02,1
f8bc5a8945f,0
96e27ea36ea,0
33949453431,1
cd315ad4627,1
e1eceaae1f6,1
9ba833b456d,1
2fa89339426,0
984cad46122,1
5de2ccd3166,1
a0308162b42,0
444815f5f23,0
c81bac612a1,0
cdc4f1f5647,1
6b4ade54702,1
b22e5f30dcb,0
a63b2e5e43b,0
a831476150c,1
07cb7b8219e,1
3f52c014070,1
1713ac1bdf3,1
ceda0bad984,1
022d61c5fd0,1
c8475bf4d85,0
bf41928e21f,0
14168db03da,1
920a697e9d4,0
0a0e4839c4f,1
4596eb0e0e7,1
b2bb0fbc8b2,1
55ec3846aab,1
329b1ecf95c,1
961b3df5b89,1
01a8920920a,1
dcc91d69d1b,1
688949a0ba1,0
f44251bd547,1
eb3dd483d56,0
1e25ea8ec63,0
7b5d65650c0,0
05b3c2faa67,1
b13a37e28c3,1
18be74b4665,0
fd79cc3bc27,1
59cbf9e93c4,1
056e0180468,1
edc9560cbbe,1
ed0a29067ef,0
5a0f0ed3aef,1
ba15d6cbdb1,1
c268b15adf8,1
c74464cc792,0
198c6b78408,0
7d63d85d8c8,1
e245b075e9f,1
6d7de9f3ab6,1
d4fb3009540,1
d165cb87fc9,1
bf3bd0b7296,1
25e5cf70fe3,0
f68798b3204,0
277f00a7957,1
0f5d159ad83,0
33f7c9683b3,1
728c42a9058,1
51b23754ef6,0
545a218879e,1
dac1fe0d0b5,0
a4490800649,1
43ff3d3596a,0
a1fcbd89a77,1
edb2b5b45b3,1
2393aabcaf4,1
8b1f925e8e1,1
fc2faaeb8f8,1
615bf7af6a6,0
3ce22cb3fd1,0
c1f84753567,0
6a11529a2e9,1
507978cfcbd,1
fd81e2828b8,1
ed083345236,1
413227f674f,1
d85beab194e,1
4caffceb582,1
496fec16dc3,0
97068d99b89,1
55aa88a0a88,0
6a83ad31d74,0
0f10b6dba49,0
587eac5c74f,0
c580c922464,0
1948b687031,0
32659284a73,1
e73cdd43dc3,1
abb8f7a0ec4,1
c26d4eac6c2,1
597a7a06b6d,1
77232b35947,0
fc64d79cace,1
adf2f7f944e,0
231376e418c,1
906410c927a,1
7895d1ff16a,1
e6493169b77,0
b0abd3a697f,0
d96678e1d16,0
31ec939a42c,1
881f687809b,1
1873f062edb,1
bcad45e0db3,1
74868115560,1
fc16c64169c,1
dcd08ad3601,0
97b1cceb07d,1
ff8ca215a7b,1
01cd04c90a2,1
dd971b70c87,1
a35bd84c776,0
c34e6675328,1
1213e97a4ba,1
0666a9c719a,1
f7a75e3dd2e,0
1cdd5314b42,0
8b476321d7f,0
ae15206240f,0
e8574c892ad,0
e240b928f9a,1
ce83e5ab939,0
ee95ec0cbb8,1
1f34e857510,1
be5e69393c8,1
60817eff4d8,1
5acf43e2857,0
7bb76aeb03b,1
bdbdd118bd0,1
ded47f37ceb,0
d74a856923e,0
6d894c261ae,1
865503d444b,0
40dd05c0474,0
8c95bd00a2c,1
251bc773590,0
cf5f486f296,1
1a16f29af95,1
4ee750425bf,1
b121cabe116,1
222935e4d62,0
b39c11a2bc8,0
7b4fe865404,0
d6b218ec051,0
c43262c8c98,0
0e185af50da,0
dfeaa735730,0
00f8d0ca8b5,1
79a73b2908d,0
7f7dcb0d4c3,1
f110bac527c,1
365c429466f,1
9fe165fa577,1
abc072b8faf,1
3e6527a9631,1
aeb82e50b36,0
979bad9fc75,1
a646a020324,0
2610a751a83,0
53fdfb3151a,1
405311c7f9a,0
19516671d5c,1
24799a1a7a7,0
d6d45cbac75,0
1f6cd649861,1
9b430a4bf89,1
cec0e86e386,0
772c1e11206,1
53352cad41e,1
250b61d36ae,0
75b9f9fc1bf,1
fd7ecfe05ba,1
151d0991955,1
1ff73484292,0
d7e80d7fda2,1
665475e38bc,1
26c08e32826,1
7fd316a8944,1
65cc70520c8,1
4a479c74396,0
c74735a4cdd,1
02589a0a99f,1
cd5bbb3b340,1
3391546399f,0
ffcef09c368,1
5e4f920a187,1
bd1263181d2,1
df371a6618b,0
d4c7f2569bc,1
085de7b0ef8,0
9f530a22979,1
25635a7f5e2,1
97232239444,1
f09b4b58709,0
812a95254ca,1
d13d2174390,0
